round,time_start,time_end,lightweight_accuracy,heavyweight_accuracy,global_lightweight_accuracy,global_heavyweight_accuracy,lightweight_precision,heavyweight_precision,lightweight_recall,heavyweight_recall,lightweight_f1,heavyweight_f1,transfer_accuracy_light_to_heavy,transfer_accuracy_heavy_to_light,num_lightweight_samples,num_heavyweight_samples
50,245,250,0.7316666666666668,0.7994444444444445,0.6016666666666667,0.605,0.7408125806884142,0.8944829892895066,0.8213411649534997,0.733235438081253,0.7776774980506955,0.8039846042228264,0.9883333333333333,0.9883333333333333,30,30
51,250,255,0.7347222222222222,0.8013888888888889,0.6025,0.6033333333333334,0.7450470707002946,0.8949505073917777,0.8203622124326969,0.7366617719040627,0.7794828209823534,0.8063097225110655,0.9825,0.9825,30,30
52,255,260,0.7311111111111112,0.7980555555555555,0.5966666666666667,0.6075,0.7499708517047085,0.891931034896099,0.8007831620166422,0.733235438081253,0.7724729561865992,0.8032562848195033,0.9708333333333333,0.9708333333333333,30,30
53,260,265,0.7358333333333333,0.8011111111111111,0.6058333333333333,0.605,0.7592648238916485,0.8899814646057992,0.7958883994126285,0.7415565345080765,0.7745853083795202,0.8074045605563653,0.9775,0.9775,30,30
54,265,270,0.7458333333333332,0.791111111111111,0.6058333333333333,0.6075,0.7621111547912012,0.8492822504656227,0.8154674498286832,0.7723935389133628,0.7860058097313,0.8082558315624775,0.9833333333333333,0.9833333333333333,30,30
55,270,275,0.7466666666666667,0.7869444444444444,0.6033333333333334,0.6066666666666667,0.7627952222443793,0.848158760980631,0.8164464023494861,0.7650513950073421,0.7868151328415308,0.803725120315402,0.9816666666666667,0.9816666666666667,30,30
56,275,280,0.7502777777777778,0.7827777777777779,0.6025,0.6066666666666667,0.7641676482945585,0.8472838670844256,0.821830641213901,0.7572197748409201,0.7902809649426407,0.7990354482410421,0.9758333333333333,0.9758333333333333,30,30
57,280,285,0.7505555555555556,0.7827777777777779,0.6016666666666667,0.6075,0.7647187615302595,0.8488088775140893,0.8208516886930983,0.7552618697993146,0.7901979609343877,0.7985567241006404,0.9825,0.9825,30,30
58,285,290,0.7491666666666666,0.7866666666666666,0.6025,0.6075,0.7751961016424143,0.8501090082857207,0.7988252569750367,0.7616250611845325,0.784367939294898,0.8027768307877193,0.985,0.985,30,30
59,290,295,0.7472222222222222,0.7997222222222223,0.6,0.6066666666666667,0.7811524353685906,0.8920855357054638,0.7846304454233971,0.7361722956436613,0.7799416557186686,0.8053164659231257,0.9833333333333333,0.9833333333333333,30,30
60,295,300,0.7466666666666667,0.7988888888888889,0.6025,0.6041666666666666,0.7872249939254857,0.8933894763322939,0.7738619676945668,0.733235438081253,0.7771875420309547,0.8039478806489071,0.9816666666666667,0.9816666666666667,30,30
61,300,305,0.75,0.7972222222222222,0.5991666666666666,0.6091666666666666,0.7978562864241624,0.893165832396325,0.767498776309349,0.7302985805188449,0.7781686703869664,0.8016489870239344,0.9816666666666667,0.9816666666666667,30,30
62,305,310,0.7536111111111111,0.7955555555555556,0.6,0.605,0.8013530969821722,0.8945576317646928,0.7723935389133626,0.7254038179148311,0.7818758623804928,0.7992811230946023,0.975,0.975,30,30
63,310,315,0.7477777777777778,0.7966666666666665,0.6033333333333334,0.605,0.8060804736286634,0.8938425721267982,0.7537934410181105,0.7283406754772392,0.7732283317138192,0.8008211334021859,0.985,0.985,30,30
64,315,320,0.7461111111111111,0.7972222222222222,0.6025,0.6141666666666666,0.8072110515415035,0.8903759860077566,0.748898678414097,0.7332354380812531,0.7708708989989792,0.8023463199139078,0.9816666666666667,0.9816666666666667,30,30
65,320,325,0.7563888888888889,0.7994444444444445,0.6025,0.6166666666666667,0.8054613474815495,0.8930520474458663,0.7723935389133626,0.7347038668624571,0.7841774013725934,0.8044900863407584,0.9808333333333333,0.9808333333333333,30,30
66,325,330,0.7600000000000001,0.7869444444444444,0.6058333333333333,0.6133333333333333,0.8092909884458971,0.8524127542864152,0.7748409202153695,0.7586882036221244,0.7870241687661648,0.8022330402083838,0.9791666666666666,0.9791666666666666,30,30
67,330,335,0.7622222222222222,0.7966666666666667,0.6083333333333333,0.6158333333333333,0.814926653067122,0.8919860098442887,0.7728830151737641,0.7302985805188449,0.7876869909580497,0.8018937432407567,0.9791666666666666,0.9791666666666666,30,30
68,335,340,0.7483333333333334,0.7997222222222223,0.6058333333333333,0.6191666666666666,0.8210508148533707,0.8514166162572695,0.73568281938326,0.788546255506608,0.7689771176358334,0.8179809474381968,0.9816666666666667,0.9816666666666667,30,30
69,340,345,0.7544444444444444,0.8013888888888889,0.61,0.6166666666666667,0.8242683815015311,0.8527528527320801,0.7435144395496819,0.7905041605482134,0.7751979800977155,0.8194878998103503,0.9866666666666667,0.9866666666666667,30,30
70,345,350,0.7569444444444445,0.8191666666666667,0.6158333333333333,0.6141666666666666,0.824618470696568,0.8964592848254563,0.7479197258932943,0.7704356338717572,0.7782254675969495,0.8275477140592367,0.985,0.985,30,30
71,350,355,0.7669444444444444,0.8163888888888889,0.6125,0.6216666666666667,0.8259891153432831,0.8963987292434933,0.767498776309349,0.7650513950073421,0.7897800259436442,0.8243768792886397,0.9808333333333333,0.9808333333333333,30,30
72,355,360,0.7775,0.8091666666666666,0.6116666666666667,0.6216666666666667,0.8203837929386489,0.8963287484235187,0.7958883994126285,0.7508565834557023,0.803655620668735,0.8157787352669491,0.98,0.98,30,30
73,360,365,0.7761111111111111,0.8158333333333333,0.6158333333333333,0.6225,0.8204212861487704,0.8967468418270732,0.7919725893294176,0.7635829662261381,0.8017293049821816,0.8231123938271881,0.9833333333333333,0.9833333333333333,30,30
74,365,370,0.7780555555555555,0.8252777777777779,0.6133333333333333,0.6241666666666666,0.8190335466791884,0.8960024040628785,0.797846304454234,0.7831620166421929,0.8041751820732199,0.8345890913051272,0.9808333333333333,0.9808333333333333,30,30
75,370,375,0.7802777777777777,0.815,0.6125,0.62,0.817884023405013,0.8559307388683831,0.8042094958394518,0.8159569260890848,0.806905942380549,0.8341974813556857,0.9791666666666666,0.9791666666666666,30,30
76,375,380,0.7813888888888889,0.8161111111111111,0.6208333333333333,0.6158333333333333,0.8227247704897676,0.8551987372090436,0.8002936857562407,0.818893783651493,0.8071032533185433,0.8354893348022997,0.9833333333333333,0.9833333333333333,30,30
77,380,385,0.7819444444444444,0.8169444444444446,0.6125,0.6258333333333334,0.8215523781342636,0.8557230013391592,0.8027410670582477,0.8198727361722956,0.80802123242016,0.8362467489275599,0.9833333333333333,0.9833333333333333,30,30
78,385,390,0.7827777777777779,0.8186111111111111,0.6141666666666666,0.625,0.8213987419413775,0.8565160107293549,0.8046989720998532,0.821830641213901,0.8089187200879723,0.8377199788852208,0.9758333333333333,0.9758333333333333,30,30
79,390,395,0.7769444444444445,0.8333333333333334,0.6458333333333334,0.6175,0.8294493675500668,0.894136079624241,0.7826725403817916,0.8012726382770436,0.7993422778142235,0.8439907578268935,0.9533333333333334,0.9533333333333334,30,30
80,395,400,0.7802777777777777,0.8308333333333334,0.6141666666666666,0.705,0.827715227138608,0.8962952899388531,0.7924620655898189,0.7939304943710229,0.8038657683940055,0.8406770606688085,0.8941666666666667,0.8941666666666667,30,30
